Month,Number of single dwelling units,Date
Jan-03,422.0,2003-01
Feb-03,361.0,2003-02
Mar-03,436.0,2003-03
Apr-03,452.0,2003-04
May-03,584.0,2003-05
Jun-03,515.0,2003-06
Jul-03,460.0,2003-07
Aug-03,410.0,2003-08
Sep-03,490.0,2003-09
Oct-03,456.0,2003-10
Nov-03,416.0,2003-11
Dec-03,410.0,2003-12
Jan-04,430.0,2004-01
Feb-04,410.0,2004-02
Mar-04,535.0,2004-03
Apr-04,505.0,2004-04
May-04,522.0,2004-05
Jun-04,585.0,2004-06
Jul-04,485.0,2004-07
Aug-04,419.0,2004-08
Sep-04,453.0,2004-09
Oct-04,393.0,2004-10
Nov-04,366.0,2004-11
Dec-04,257.0,2004-12
Jan-05,297.0,2005-01
Feb-05,329.0,2005-02
Mar-05,421.0,2005-03
Apr-05,395.0,2005-04
May-05,496.0,2005-05
Jun-05,445.0,2005-06
Jul-05,460.0,2005-07
Aug-05,542.0,2005-08
Sep-05,477.0,2005-09
Oct-05,428.0,2005-10
Nov-05,442.0,2005-11
Dec-05,421.0,2005-12
Jan-06,423.0,2006-01
Feb-06,468.0,2006-02
Mar-06,547.0,2006-03
Apr-06,384.0,2006-04
May-06,459.0,2006-05
Jun-06,667.0,2006-06
Jul-06,577.0,2006-07
Aug-06,377.0,2006-08
Sep-06,402.0,2006-09
Oct-06,428.0,2006-10
Nov-06,362.0,2006-11
Dec-06,188.0,2006-12
Jan-07,334.0,2007-01
Feb-07,308.0,2007-02
Mar-07,313.0,2007-03
Apr-07,303.0,2007-04
May-07,434.0,2007-05
Jun-07,463.0,2007-06
Jul-07,385.0,2007-07
Aug-07,340.0,2007-08
Sep-07,310.0,2007-09
Oct-07,417.0,2007-10
Nov-07,335.0,2007-11
Dec-07,229.0,2007-12
Jan-08,322.0,2008-01
Feb-08,325.0,2008-02
Mar-08,331.0,2008-03
Apr-08,390.0,2008-04
May-08,422.0,2008-05
Jun-08,407.0,2008-06
Jul-08,390.0,2008-07
Aug-08,325.0,2008-08
Sep-08,332.0,2008-09
Oct-08,262.0,2008-10
Nov-08,164.0,2008-11
Dec-08,95.0,2008-12
Jan-09,93.0,2009-01
Feb-09,133.0,2009-02
Mar-09,167.0,2009-03
Apr-09,182.0,2009-04
May-09,227.0,2009-05
Jun-09,272.0,2009-06
Jul-09,410.0,2009-07
Aug-09,334.0,2009-08
Sep-09,395.0,2009-09
Oct-09,472.0,2009-10
Nov-09,380.0,2009-11
Dec-09,330.0,2009-12
Jan-10,368.0,2010-01
Feb-10,334.0,2010-02
Mar-10,467.0,2010-03
Apr-10,424.0,2010-04
May-10,466.0,2010-05
Jun-10,465.0,2010-06
Jul-10,411.0,2010-07
Aug-10,377.0,2010-08
Sep-10,376.0,2010-09
Oct-10,311.0,2010-10
Nov-10,245.0,2010-11
Dec-10,190.0,2010-12
Jan-11,202.0,2011-01
Feb-11,262.0,2011-02
Mar-11,308.0,2011-03
Apr-11,386.0,2011-04
May-11,346.0,2011-05
Jun-11,385.0,2011-06
Jul-11,368.0,2011-07
Aug-11,404.0,2011-08
Sep-11,304.0,2011-09
Oct-11,312.0,2011-10
Nov-11,326.0,2011-11
Dec-11,239.0,2011-12
Jan-12,188.0,2012-01
Feb-12,320.0,2012-02
Mar-12,331.0,2012-03
Apr-12,274.0,2012-04
May-12,300.0,2012-05
Jun-12,368.0,2012-06
Jul-12,331.0,2012-07
Aug-12,313.0,2012-08
Sep-12,260.0,2012-09
Oct-12,303.0,2012-10
Nov-12,292.0,2012-11
Dec-12,155.0,2012-12
Jan-13,186.0,2013-01
Feb-13,224.0,2013-02
Mar-13,211.0,2013-03
Apr-13,274.0,2013-04
May-13,248.0,2013-05
Jun-13,247.0,2013-06
Jul-13,335.0,2013-07
Aug-13,242.0,2013-08
Sep-13,213.0,2013-09
Oct-13,266.0,2013-10
Nov-13,214.0,2013-11
Dec-13,190.0,2013-12
Jan-14,204.0,2014-01
Feb-14,198.0,2014-02
Mar-14,213.0,2014-03
Apr-14,232.0,2014-04
May-14,242.0,2014-05
Jun-14,275.0,2014-06
Jul-14,254.0,2014-07
Aug-14,262.0,2014-08
Sep-14,254.0,2014-09
Oct-14,296.0,2014-10
Nov-14,248.0,2014-11
Dec-14,242.0,2014-12
Jan-15,215.0,2015-01
Feb-15,206.0,2015-02
Mar-15,292.0,2015-03
Apr-15,273.0,2015-04
May-15,260.0,2015-05
Jun-15,227.0,2015-06
Jul-15,307.0,2015-07
Aug-15,249.0,2015-08
Sep-15,253.0,2015-09
Oct-15,291.0,2015-10
Nov-15,245.0,2015-11
Dec-15,227.0,2015-12
Jan-16,235.0,2016-01
Feb-16,285.0,2016-02
Mar-16,299.0,2016-03
Apr-16,343.0,2016-04
May-16,268.0,2016-05
Jun-16,319.0,2016-06
Jul-16,284.0,2016-07
Aug-16,280.0,2016-08
Sep-16,222.0,2016-09
Oct-16,240.0,2016-10
Nov-16,279.0,2016-11
Dec-16,152.0,2016-12
Jan-17,195.0,2017-01
Feb-17,173.0,2017-02
Mar-17,245.0,2017-03
Apr-17,270.0,2017-04
May-17,290.0,2017-05
Jun-17,240.0,2017-06
Jul-17,227.0,2017-07
Aug-17,284.0,2017-08
Sep-17,257.0,2017-09
Oct-17,270.0,2017-10
Nov-17,231.0,2017-11
Dec-17,162.0,2017-12
Jan-18,188.0,2018-01
Feb-18,185.0,2018-02
Mar-18,227.0,2018-03
Apr-18,239.0,2018-04
May-18,288.0,2018-05
Jun-18,238.0,2018-06
Jul-18,229.0,2018-07
Aug-18,200.0,2018-08
Sep-18,178.0,2018-09
Oct-18,384.0,2018-10
Nov-18,121.0,2018-11
Dec-18,110.0,2018-12
Jan-19,125.0,2019-01
Feb-19,134.0,2019-02
Mar-19,161.0,2019-03
Apr-19,173.0,2019-04
May-19,159.0,2019-05
Jun-19,150.0,2019-06
Jul-19,158.0,2019-07
Aug-19,135.0,2019-08
Sep-19,106.0,2019-09
Oct-19,121.0,2019-10
Nov-19,104.0,2019-11
Dec-19,104.0,2019-12
Jan-20,97.0,2020-01
Feb-20,147.0,2020-02
Mar-20,107.0,2020-03
Apr-20,107.0,2020-04
May-20,135.0,2020-05
Jun-20,154.0,2020-06
Jul-20,118.0,2020-07
Aug-20,118.0,2020-08
Sep-20,114.0,2020-09
Oct-20,102.0,2020-10
Nov-20,110.0,2020-11
Dec-20,117.0,2020-12
Jan-21,79.0,2021-01
Feb-21,103.0,2021-02
Mar-21,132.0,2021-03
Apr-21,73.0,2021-04
May-21,107.0,2021-05
Jun-21,128.0,2021-06
Jul-21,90.0,2021-07
Aug-21,82.0,2021-08
Sep-21,112.0,2021-09
Oct-21,106.0,2021-10
Nov-21,111.0,2021-11
Dec-21,78.0,2021-12
Jan-22,103.0,2022-01
Feb-22,125.0,2022-02
Mar-22,132.0,2022-03
Apr-22,115.0,2022-04
May-22,107.0,2022-05
Jun-22,133.0,2022-06
Jul-22,130.0,2022-07
Aug-22,147.0,2022-08
Sep-22,123.0,2022-09
Oct-22,121.0,2022-10
Nov-22,91.0,2022-11
Dec-22,53.0,2022-12
Jan-23,107.0,2023-01
Feb-23,93.0,2023-02
Mar-23,91.0,2023-03
Apr-23,100.0,2023-04
May-23,102.0,2023-05
Jun-23,117.0,2023-06
Jul-23,74.0,2023-07
Aug-23,105.0,2023-08
Sep-23,79.0,2023-09
Oct-23,62.0,2023-10
Nov-23,61.0,2023-11
Dec-23,26.0,2023-12
Jan-24,80.0,2024-01
Feb-24,110.0,2024-02
Mar-24,104.0,2024-03
Apr-24,92.0,2024-04
May-24,116.0,2024-05
Jun-24,90.0,2024-06
Jul-24,113.0,2024-07
Aug-24,103.0,2024-08
Sep-24,79.0,2024-09
Oct-24,108.0,2024-10
Nov-24,59.0,2024-11
Dec-24,67.0,2024-12
Jan-25,96.0,2025-01
